firstName,lastName,middleName,email,college
Vincent Jr.,Corpes,Longno,vincentjr.corpes@wvsu.edu.ph,CICT
Kyla Elijah,Ramiro,Cayonga,kylaelijah.ramiro@wvsu.edu.ph,CON
Ethan Jed,Carbonell,Vellejera,ethanjed.carbonell@wvsu.edu.ph,CAS
Myrrhea Belle,Junsay,Baco,myrrheabelle.junsay@wvsu.edu.ph,COD
Karlo Roel,Montenegro,Flojemon,karloroel.montenegro@wvsu.edu.ph,COE
Meagelleine Rose,Sionosa,Sonillo,meagelleinerose.sionosa@wvsu.edu.ph,COC
Marco,Dela Cruz,Santos,marco.delacruz@wvsu.edu.ph,CBM
Sofia,Reyes,Garcia,sofia.reyes@wvsu.edu.ph,COL
Juan Miguel,Fernandez,Cruz,juanmiguel.fernandez@wvsu.edu.ph,COM
Angel Grace,Lopez,Torres,angelgrace.lopez@wvsu.edu.ph,PESCAR
Anna Marie,Pascual,Bautista,annamarie.pascual@wvsu.edu.ph,CAS
John Paul,Mendoza,Villanueva,johnpaul.mendoza@wvsu.edu.ph,CBM
Mary Joy,Santos,Gonzales,maryjoy.santos@wvsu.edu.ph,COC
Francis Matthew,Alagao,Tan,francismatthew.alagao@wvsu.edu.ph,COD
Patricia Anne,Domingo,Mercado,patriciaanne.domingo@wvsu.edu.ph,COE
Jericho,Martinez,Aquino,jericho.martinez@wvsu.edu.ph,CICT
Maria Theresa,Carillo,Lim,mariatheresa.carillo@wvsu.edu.ph,COL
Gerald Ryan,Ramos,Navarro,geraldryan.ramos@wvsu.edu.ph,COM
Angelica,Torres,Sanchez,angelica.torres@wvsu.edu.ph,CON
Timothy James,Cruz,Ortega,timothyjames.cruz@wvsu.edu.ph,PESCAR
Jasmine,Legaspi,Samson,jasmine.legaspi@wvsu.edu.ph,CAS
Kevin,Manalo,Castro,kevin.manalo@wvsu.edu.ph,CBM
Hannah,Ocampo,Padilla,hannah.ocampo@wvsu.edu.ph,COC
Christian,Valencia,Sarmiento,christian.valencia@wvsu.edu.ph,COD
Sarah Jane,Bautista,Dizon,sarahjane.bautista@wvsu.edu.ph,COE
Adrian Paul,Angeles,Mendoza,adrianpaul.angeles@wvsu.edu.ph,CICT
Michelle,Gomez,Santiago,michelle.gomez@wvsu.edu.ph,COL
Darren,Flores,Villanueva,darren.flores@wvsu.edu.ph,COM
Kristine Joy,Agustin,Rosario,kristinejoy.agustin@wvsu.edu.ph,CON
Daniel,Dizon,Marquez,daniel.dizon@wvsu.edu.ph,PESCAR
Abigail,Gonzales,Soriano,abigail.gonzales@wvsu.edu.ph,CAS
Raymond,Castro,Hernandez,raymond.castro@wvsu.edu.ph,CBM
Joyce,Reyes,Villanueva,joyce.reyes@wvsu.edu.ph,COC
Michael Angelo,Ferrer,Javier,michaelangelo.ferrer@wvsu.edu.ph,COD
Andrea,Rivera,Tolentino,andrea.rivera@wvsu.edu.ph,COE
Kenneth,Pascual,Magno,kenneth.pascual@wvsu.edu.ph,CICT
Nicole,Torres,Salvador,nicole.torres@wvsu.edu.ph,COL
Ryan Christopher,Villanueva,Ignacio,ryanchristopher.villanueva@wvsu.edu.ph,COM
Monica,Alcantara,Domingo,monica.alcantara@wvsu.edu.ph,CON
Joshua,Marcos,Reyes,joshua.marcos@wvsu.edu.ph,PESCAR
Samantha,Lim,Castillo,samantha.lim@wvsu.edu.ph,CAS
John Michael,Ponce,Delos Santos,johnmichael.ponce@wvsu.edu.ph,CBM
Angela,Miranda,Flores,angela.miranda@wvsu.edu.ph,COC
Patrick,Santos,Cruz,patrick.santos@wvsu.edu.ph,COD
Erika,Panganiban,Garcia,erika.panganiban@wvsu.edu.ph,COE
Jerome,Mercado,Molina,jerome.mercado@wvsu.edu.ph,CICT
Catherine,San Jose,Navarro,catherine.sanjose@wvsu.edu.ph,COL
Marvin,Aquino,Dela Rosa,marvin.aquino@wvsu.edu.ph,COM
Danica,Pimentel,Manzano,danica.pimentel@wvsu.edu.ph,CON
Paolo,Santos,Rivera,paolo.santos@wvsu.edu.ph,PESCAR
Janine,Diaz,Perez,janine.diaz@wvsu.edu.ph,CAS
Matthew,Tan,Morales,matthew.tan@wvsu.edu.ph,CBM
Bianca,Salazar,Ramos,bianca.salazar@wvsu.edu.ph,COC
Carlo,Ocampo,Enriquez,carlo.ocampo@wvsu.edu.ph,COD
Justine,Luna,Velasco,justine.luna@wvsu.edu.ph,COE
Mark Anthony,Aguilar,Castillo,markanthony.aguilar@wvsu.edu.ph,CICT
Kimberly,Ramos,Santiago,kimberly.ramos@wvsu.edu.ph,COL
Gabriel,Tolentino,Dela Cruz,gabriel.tolentino@wvsu.edu.ph,COM
Jillian,Rodrigo,Gonzalez,jillian.rodrigo@wvsu.edu.ph,CON
Lance,Villanueva,Santos,lance.villanueva@wvsu.edu.ph,PESCAR
Denise,Reyes,Mendoza,denise.reyes@wvsu.edu.ph,CAS
Justin,Galang,Pascual,justin.galang@wvsu.edu.ph,CBM
Katrina,Perez,Martinez,katrina.perez@wvsu.edu.ph,COC
Neil Patrick,Garcia,Torres,neilpatrick.garcia@wvsu.edu.ph,COD
